feature_label,linear,mlp
vision_mean_layer_-1,0.6123291520362205,0.4145621750371676
vision_mean_layer_12,0.75446920667557,0.47764352259906473
lm_visual_lasttok_layer_-1,0.9789359859118225,0.5033613791068395
lm_visual_lasttok_layer_16,0.9088947238757256,0.48992538113966055
lm_visual_mean_layer_-1,0.9789359859118225,0.5033613791068395
lm_visual_mean_layer_16,0.9088947238757256,0.48992538113966055
lm_prompt_lasttok_layer_-1,0.36648626002014106,0.14207993608285138
lm_prompt_lasttok_layer_16,0.3181107004060813,0.14017985741350245
lm_prompt_mean_layer_-1,0.6412407504328599,0.4032597906411962
lm_prompt_mean_layer_16,0.680355671449756,0.41536571096021235
lm_answer_lasttok_layer_-1,0.34366110749278506,0.15657998031626144
lm_answer_lasttok_layer_16,0.5427079906700351,0.2759444131813151
lm_answer_mean_layer_-1,0.4316830895048507,0.12167400520638372
lm_answer_mean_layer_16,0.36144599107140346,0.11255076993256807
answer_gen_entropy_max,0.23943682630539787,0.23705533334443754
answer_gen_entropy_mean,0.23829773337917126,0.23613494362497162
answer_gen_entropy_min,0.4995872026428263,0.46436708848527136
answer_gen_entropy_std,0.24080424111151527,0.2368417482902395
answer_gen_neglogp_mean,0.24379258547374544,0.23575507981557373
answer_gen_neglogp_std,0.24437808684000734,0.2348127563530249
answer_gen_negp_max,0.24305656745184398,0.23435703622745285
answer_gen_negp_mean,0.2427648901410982,0.23012339017281297
answer_gen_negp_min,0.5032520366053209,0.47124314466689493
answer_gen_negp_std,0.24339273622167026,0.2366964319549131
